kept_idx,dropped_idx,similarity,kept_q,dropped_q
238,852,0.9580,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","BLUESMACKING is known to exploit the CWE-404 weakness. Which specific vulnerability in 6tunnel version 0.08 is triggered by an attack technique that leverages a manifestation of this weakness involving the failure to properly terminate network communication endpoints?"
238,853,0.9689,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness to cause a denial of service, which specific CVE is linked to a network utility that suffers from a manifestation of this same weakness through the mismanagement of socket connections?"
238,1284,0.9538,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","The BlueSmacking attack pattern (CAPEC-666) is known to exploit the CWE-404 weakness. Which specific CVE, identified in the 6tunnel software, is fundamentally caused by the same improper resource management failure involving network communication endpoints?"
238,1294,0.9508,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","The BLUESMACKING attack pattern is known to exploit a specific software weakness categorized as CWE-404. How does this weakness manifest as a technical failure in the 6tunnel vulnerability identified as CVE-2001-0830?"
238,1762,0.9623,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific software version is vulnerable to a CVE that exemplifies this same weakness through the mismanagement of network sockets?"
238,1767,0.9524,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness to achieve a denial of service, which specific CVE identified in 6tunnel version 0.08 is a manifestation of this same weakness, and what network communication endpoints are exhausted as a result?"
238,1774,0.9690,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","The BlueSmacking attack pattern is known to exploit the CWE-404 weakness. Which specific CVE associated with 6tunnel version 0.08 shares this underlying weakness, and what specific technical failure does it exhibit regarding network communication endpoints?"
239,1732,0.9591,"The BlueSmacking attack pattern is known to exploit the CWE-404 weakness; what specific manifestation of this weakness is responsible for the Denial of Service (DoS) vulnerability found in 6tunnel version 0.08?","The BlueSmacking attack pattern is categorized as exploiting the CWE-404 weakness; which specific vulnerability in 6tunnel version 0.08 is an instance of this weakness and results in a Denial of Service (DoS) through resource exhaustion?"
239,1740,0.9509,"The BlueSmacking attack pattern is known to exploit the CWE-404 weakness; what specific manifestation of this weakness is responsible for the Denial of Service (DoS) vulnerability found in 6tunnel version 0.08?","Which specific vulnerability in the 6tunnel application shares the same underlying CWE-404 weakness as the BlueSmacking attack, and what condition does it induce to achieve a Denial of Service (DoS)?"
239,1748,0.9681,"The BlueSmacking attack pattern is known to exploit the CWE-404 weakness; what specific manifestation of this weakness is responsible for the Denial of Service (DoS) vulnerability found in 6tunnel version 0.08?","The BLUESMACKING attack pattern is known to exploit the CWE-404 weakness to disrupt system availability. Which specific medium-severity vulnerability in 6tunnel version 0.08 is identified as a concrete instance of this same weakness and leads to a similar Denial of Service (DoS) outcome?"
239,1753,0.9761,"The BlueSmacking attack pattern is known to exploit the CWE-404 weakness; what specific manifestation of this weakness is responsible for the Denial of Service (DoS) vulnerability found in 6tunnel version 0.08?","The BLUESMACKING attack pattern is known to exploit the CWE-404 weakness to achieve its objectives. Which specific vulnerability in 6tunnel version 0.08 is identified as a manifestation of this same weakness, potentially leading to a Denial of Service (DoS)?"
239,1852,0.9556,"The BlueSmacking attack pattern is known to exploit the CWE-404 weakness; what specific manifestation of this weakness is responsible for the Denial of Service (DoS) vulnerability found in 6tunnel version 0.08?","Given that the BlueSmacking attack pattern exploits the CWE-404 weakness, identify the specific CVE associated with this weakness in 6tunnel version 0.08 and describe the mechanism used to achieve a Denial of Service (DoS) in that context."
239,1863,0.9646,"The BlueSmacking attack pattern is known to exploit the CWE-404 weakness; what specific manifestation of this weakness is responsible for the Denial of Service (DoS) vulnerability found in 6tunnel version 0.08?","Considering that the BLUESMACKING attack pattern exploits CWE-404, which specific vulnerability in 6tunnel version 0.08 is classified as an instance of this same weakness and results in a Denial of Service (DoS)?"
