kept_idx,dropped_idx,similarity,kept_q,dropped_q
54,60,0.9007,"Considering that BlueSmacking is a specific attack pattern used to achieve a Denial of Service (DoS), what hardware-based technical measure is utilized to implement the mitigation strategy recommended for the broader Direct Network Flood technique employed by adversaries?","Given that BlueSmacking is an attack pattern used to achieve a Denial of Service (DoS) by flooding targets with oversized L2CAP packets, what specific network security measure is recommended as part of the broader mitigation strategy (M1037) to counter the direct network flood techniques used by adversaries to reach such objectives?"
54,573,0.9016,"Considering that BlueSmacking is a specific attack pattern used to achieve a Denial of Service (DoS), what hardware-based technical measure is utilized to implement the mitigation strategy recommended for the broader Direct Network Flood technique employed by adversaries?","Considering that BlueSmacking is an attack pattern designed to achieve a Denial of Service (DoS) through flooding, what defensive mitigation strategy can be implemented on endpoints to counter the associated direct network flood technique?"
66,759,0.9060,"When an adversary utilizes a Linux machine to execute a BlueSmacking attack by flooding a target with oversized L2CAP packets, what is the primary security impact achieved, and which MITRE ATT&CK sub-technique categorizes the broader network flooding method used by adversaries to reach this objective?","Remote attackers often utilize methods like repeatedly connecting and disconnecting to achieve a specific security impact on system availability. If an adversary uses oversized L2CAP packets in a BlueSmacking attack to reach this same objective, which MITRE ATT&CK sub-technique identifier is assigned to this method of direct network flooding?"
66,1523,0.9011,"When an adversary utilizes a Linux machine to execute a BlueSmacking attack by flooding a target with oversized L2CAP packets, what is the primary security impact achieved, and which MITRE ATT&CK sub-technique categorizes the broader network flooding method used by adversaries to reach this objective?","When an adversary employs a Linux machine to perform a BlueSmacking attack, what is the fundamental mechanism used to reach the attack's objective, and which specific MITRE ATT&CK technique is associated with this type of traffic-based disruption?"
71,99,0.9060,"What common security impact is shared between the exploitation of the improper socket closure weakness in CVE-2001-0830 and the Bluetooth-based BlueSmacking attack pattern?","What primary security impact is shared between the exploitation of CVE-2001-0830, which involves improper socket closure, and the BLUESMACKING attack pattern?"
74,528,0.9068,"If a threat actor utilizes the BlueSmacking attack pattern to achieve its primary security impact, which specific MITRE ATT&CK sub-technique is associated with the broader category of network flooding used by adversaries to reach that same objective?","An adversary utilizes the BLUESMACKING attack pattern to compromise the security scope of Availability. Which MITRE ATT&CK sub-technique identifier corresponds to the broader tactical method of flooding a target with traffic to achieve this specific Denial of Service (DoS) impact?"
85,1185,0.9146,"What shared security impact do BlueSmacking and the exploitation of CVE-2001-0830 have on a target system, and what specific network communication mechanism is mismanaged to achieve this in the 6tunnel vulnerability?","While BlueSmacking achieves its objective through oversized L2CAP packets, what shared security impact does it have with CVE-2001-0830, and what specific attack method is used to trigger that impact in the 6tunnel service?"
105,1422,0.9004,"Considering that the BlueSmacking attack pattern is an exploitation of CWE-404, which specific vulnerability in the 6tunnel software shares this underlying weakness by failing to properly release network sockets during rapid connection cycles?","Which medium-severity vulnerability in the 6tunnel software shares the same underlying CWE-404 weakness exploited by the BlueSmacking attack, specifically through the mismanagement of network communication endpoints?"
143,1373,0.9053,"If the `decodeFile` function fails to release file handles upon encountering a checksum error, leading to the depletion of the system's resource pool, what is the resulting security impact, and which Bluetooth-specific attack pattern aims to achieve this same objective by flooding targets with oversized L2CAP packets?","If the `decodeFile` function fails to release a file handle initialized by `fopen` during a checksum error, what specific security impact does this resource leak cause, and which Bluetooth-based attack pattern shares this same primary objective?"
153,334,0.9107,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","The BlueSmacking attack pattern exploits a specific software weakness categorized as CWE-404; how does this same weakness manifest in the 6tunnel version 0.08 vulnerability identified as CVE-2001-0830?"
153,380,0.9122,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","The BlueSmacking attack pattern exploits a specific software weakness categorized as CWE-404; how does this same category of weakness manifest in the vulnerability identified as CVE-2001-0830 within the 6tunnel software?"
153,1003,0.9066,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the industry identifier for this underlying weakness, and which specific network resource is improperly handled in CVE-2001-0830, a vulnerability that serves as a concrete instance of this same weakness?"
153,1204,0.9063,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","The BlueSmacking attack exploits a specific software weakness to achieve a Denial of Service (DoS). What is the formal name of this weakness, and how does it link the BlueSmacking attack pattern to the network-based vulnerability CVE-2001-0830?"
153,1217,0.9064,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","Considering that BlueSmacking exploits a specific resource management weakness to achieve a Denial of Service, what is the CWE identifier for this weakness, and how is it manifested in the vulnerability CVE-2001-0830?"
153,1294,0.9080,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","The BLUESMACKING attack pattern is known to exploit a specific software weakness categorized as CWE-404. How does this weakness manifest as a technical failure in the 6tunnel vulnerability identified as CVE-2001-0830?"
153,1296,0.9086,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","How does the underlying software weakness exploited by the BlueSmacking attack pattern relate to the specific technical flaw identified in CVE-2001-0830?"
153,1766,0.9028,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","BlueSmacking is an attack pattern that exploits the CWE-404 weakness to achieve a Denial of Service. Which specific vulnerability in the 6tunnel software is classified as an instance of this same weakness, and what mechanism does it use to exhaust system resources?"
153,1772,0.9073,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","The BlueSmacking attack pattern (CAPEC-666) exploits a specific software weakness to achieve a denial of service; which CVE associated with the 6tunnel application is classified under this same weakness, and what specific network resource does it fail to release?"
153,1839,0.9032,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","The BlueSmacking attack pattern exploits a specific software weakness categorized as CWE-404; how does this same weakness manifest in the 6tunnel vulnerability identified as CVE-2001-0830?"
153,1877,0.9079,"BlueSmacking is an attack pattern that exploits a specific software weakness to achieve a Denial of Service (DoS). What is the CWE identifier for this weakness, and how does it manifest in the vulnerability identified as CVE-2001-0830?","The BLUESMACKING attack pattern exploits a specific software weakness categorized as CWE-404; what is the primary security impact of CVE-2001-0830, which is a known instance of this same weakness?"
158,342,0.9018,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the BLUESMACKING attack pattern leverage the CWE-404 weakness to achieve a state of resource exhaustion on a target device?"
158,344,0.9019,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the BLUESMACKING attack pattern utilize the CWE-404 weakness to achieve a state of resource exhaustion on a target device?"
158,354,0.9123,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of CWE-404 during a BLUESMACKING attack lead to a Denial of Service (DoS) state on a target Bluetooth-enabled device?"
158,355,0.9088,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","By exploiting the CWE-404 weakness through oversized L2CAP packet flooding, what critical system condition does a BlueSmacking attack induce via the failure to correctly terminate network connections?"
158,357,0.9094,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the BLUESMACKING attack pattern leverage the CWE-404 weakness to achieve a Denial of Service (DoS) condition on a target device?"
158,359,0.9268,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of CWE-404 during a BlueSmacking attack lead to a Denial of Service (DoS) condition, and what specific resource management failure is responsible for this outcome?"
158,361,0.9045,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","By exploiting the CWE-404 weakness, what specific technical failure does a BlueSmacking attack trigger to deplete the resource pool and achieve a Denial of Service?"
158,363,0.9458,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of the CWE-404 weakness during a BlueSmacking attack lead to a Denial of Service (DoS) condition on a target device?"
158,366,0.9333,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","In the context of a BlueSmacking attack, how does the exploitation of the CWE-404 weakness specifically lead to a Denial of Service (DoS) state through the mismanagement of network resources?"
158,367,0.9054,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of CWE-404 during a BLUESMACKING attack lead to a denial of service, and which security principle is primarily impacted by this chain of events?"
158,368,0.9428,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the BLUESMACKING attack pattern utilize the CWE-404 weakness to achieve a Denial of Service (DoS) condition on a target system?"
158,370,0.9167,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of CWE-404 during a BlueSmacking attack lead to a Denial of Service (DoS) condition on a target device?"
158,373,0.9355,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of the CWE-404 weakness during a BLUESMACKING attack lead to a Denial of Service (DoS) condition on a target device?"
158,1282,0.9378,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","By exploiting the CWE-404 weakness, how does a BlueSmacking attack transition from the transmission of oversized L2CAP packets to a full Denial of Service (DoS) state?"
158,1286,0.9180,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of CWE-404 via a BlueSmacking attack lead to the depletion of system-level resources such as database cursors?"
158,1430,0.9117,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","By exploiting the specific software weakness identified as CWE-404, what intermediate state does a BlueSmacking attack induce to achieve a Denial of Service (DoS) on a Bluetooth-enabled device?"
158,1442,0.9241,"How does the exploitation of the software weakness CWE-404 during a BlueSmacking attack lead to a state of Denial of Service (DoS)?","How does the exploitation of CWE-404 via the BlueSmacking attack pattern lead to a Denial of Service (DoS) condition on a Bluetooth-enabled device?"
165,178,0.9131,"What shared security impact is common to both the BlueSmacking attack pattern and the exploitation of CVE-2001-0830, and what specific technical condition facilitates this impact in the latter?","What shared security impact is achieved by both a BlueSmacking attack and the exploitation of CVE-2001-0830, and what specific condition resulting from improper socket closure in the latter facilitates this impact?"
165,181,0.9222,"What shared security impact is common to both the BlueSmacking attack pattern and the exploitation of CVE-2001-0830, and what specific technical condition facilitates this impact in the latter?","What primary security impact is shared by the BlueSmacking attack pattern and the exploitation of CVE-2001-0830, and what specific system state must be reached for the latter to manifest this impact?"
165,1553,0.9062,"What shared security impact is common to both the BlueSmacking attack pattern and the exploitation of CVE-2001-0830, and what specific technical condition facilitates this impact in the latter?","Although BlueSmacking and CVE-2001-0830 target different protocols and software, they share a common security impact; what is this impact, and what specific condition arising from improper socket management in CVE-2001-0830 leads to it?"
173,184,0.9001,"How does the underlying technical weakness in CVE-2001-0830 result in the same primary security impact as a BlueSmacking attack?","What specific technical weakness links the exploitation of CVE-2001-0830 to the same Denial of Service (DoS) objective as a BLUESMACKING attack?"
173,1558,0.9007,"How does the underlying technical weakness in CVE-2001-0830 result in the same primary security impact as a BlueSmacking attack?","How does the underlying technical weakness in CVE-2001-0830 lead to a state of resource exhaustion, and what shared security impact does this state have with a BlueSmacking attack?"
195,973,0.9125,"If the `DecodeFile` function fails to properly close file streams, what specific security impact does it share with the BlueSmacking attack pattern?","If the `decodeFile` function fails to properly close a file stream initialized by `fopen`, what primary security impact does this software weakness share with the BlueSmacking attack pattern?"
195,1398,0.9052,"If the `DecodeFile` function fails to properly close file streams, what specific security impact does it share with the BlueSmacking attack pattern?","If the `decodeFile` function fails to release file handles upon a checksum error, what is the formal CWE classification for this vulnerability, and what primary security impact does it share with the BlueSmacking attack pattern?"
204,209,0.9131,"By what mechanism does a BlueSmacking attack achieve its primary security impact, and which specific MITRE ATT&CK technique describes this method of resource exhaustion?","By what mechanism does a BlueSmacking attack achieve its objective, and which specific MITRE ATT&CK technique describes this method of resource exhaustion via packet flooding?"
204,210,0.9471,"By what mechanism does a BlueSmacking attack achieve its primary security impact, and which specific MITRE ATT&CK technique describes this method of resource exhaustion?","By what mechanism does a BlueSmacking attack achieve its primary security impact, and which specific MITRE ATT&CK technique characterizes this method of resource exhaustion?"
204,444,0.9010,"By what mechanism does a BlueSmacking attack achieve its primary security impact, and which specific MITRE ATT&CK technique describes this method of resource exhaustion?","By what mechanism does a BlueSmacking attack achieve its objective, and how is this specific method classified within the MITRE ATT&CK framework?"
220,1501,0.9073,"When an adversary executes a BlueSmacking attack by flooding a target with oversized L2CAP packets to achieve a Denial of Service, which specific MITRE ATT&CK technique are they implementing based on the underlying traffic mechanism?","When an adversary utilizes a Linux machine to execute a BlueSmacking attack (CAPEC-666), which MITRE ATT&CK technique are they fundamentally performing by flooding the target with oversized L2CAP packets?"
234,241,0.9051,"The BLUESMACKING attack pattern exploits a specific software weakness categorized under CWE-404. Which medium-severity vulnerability in the 6tunnel software is fundamentally caused by a specific manifestation of this same weakness?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE identified in the 6tunnel application is caused by a manifestation of this same weakness through improper socket closure?"
234,315,0.9006,"The BLUESMACKING attack pattern exploits a specific software weakness categorized under CWE-404. Which medium-severity vulnerability in the 6tunnel software is fundamentally caused by a specific manifestation of this same weakness?","Which tunneling software contains a medium-severity vulnerability that shares the same underlying CWE-404 resource management weakness exploited by the BLUESMACKING attack pattern?"
234,317,0.9009,"The BLUESMACKING attack pattern exploits a specific software weakness categorized under CWE-404. Which medium-severity vulnerability in the 6tunnel software is fundamentally caused by a specific manifestation of this same weakness?","Considering that the BLUESMACKING attack pattern exploits the CWE-404 weakness, which specific CVE identified in the 6tunnel software is characterized by a manifestation of this same weakness through the mismanagement of network communication endpoints?"
235,244,0.9027,"The BlueSmacking attack pattern exploits a specific software weakness categorized under CWE-404; how does this same category of weakness manifest in the technical flaw identified as CVE-2001-0830?","Given that the BlueSmacking attack pattern is categorized as exploiting the CWE-404 weakness, what specific manifestation of this software flaw is identified as the root cause of the resource exhaustion in CVE-2001-0830?"
236,853,0.9004,"Considering that the BlueSmacking attack pattern exploits a specific resource management weakness to achieve its objective, how does this same underlying weakness manifest in the 6tunnel vulnerability identified as CVE-2001-0830?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness to cause a denial of service, which specific CVE is linked to a network utility that suffers from a manifestation of this same weakness through the mismanagement of socket connections?"
236,1332,0.9021,"Considering that the BlueSmacking attack pattern exploits a specific resource management weakness to achieve its objective, how does this same underlying weakness manifest in the 6tunnel vulnerability identified as CVE-2001-0830?","Which common software weakness is exploited by the BlueSmacking attack pattern, and how does this same weakness manifest in the 6tunnel vulnerability CVE-2001-0830 to achieve a Denial of Service?"
238,325,0.9027,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","The BLUESMACKING attack pattern exploits a specific software weakness categorized as CWE-404. Which specific vulnerability, disclosed on December 6, 2001, shares this underlying weakness through the mismanagement of network communication endpoints?"
238,378,0.9221,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","Which specific CVE, identified in 6tunnel version 0.08, is fundamentally caused by the same category of software weakness (CWE-404) that is exploited by the BlueSmacking attack pattern?"
238,386,0.9014,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","Which common software weakness links the BlueSmacking attack pattern to the resource exhaustion vulnerability identified as CVE-2001-0830 in the 6tunnel software?"
238,1284,0.9226,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","The BlueSmacking attack pattern (CAPEC-666) is known to exploit the CWE-404 weakness. Which specific CVE, identified in the 6tunnel software, is fundamentally caused by the same improper resource management failure involving network communication endpoints?"
238,1334,0.9051,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE-identified vulnerability in 6tunnel software is caused by a manifestation of this same weakness involving the mismanagement of network communication endpoints?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific vulnerability in the 6tunnel software is linked to this same weakness through the mismanagement of network communication endpoints?"
242,1739,0.9137,"How does the underlying software weakness exploited by the BlueSmacking attack pattern technically manifest in the vulnerability identified as CVE-2001-0830 to achieve a Denial of Service?","How does the underlying weakness exploited by the BlueSmacking attack pattern manifest in CVE-2001-0830, and what is the technical mechanism that leads to a Denial of Service?"
245,1762,0.9083,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific CVE is associated with a manifestation of this same weakness involving the mismanagement of network sockets?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, which specific software version is vulnerable to a CVE that exemplifies this same weakness through the mismanagement of network sockets?"
269,276,0.9159,"Considering the skill level required for an adversary to perform a BLUESMACKING attack, what specific component of the MITRE M1037 mitigation strategy would be used to prevent that same adversary from successfully conducting data exfiltration?","Considering that an adversary capable of executing a BLUESMACKING attack typically possesses a low skill level, what specific component of the MITRE M1037 mitigation strategy would be employed to prevent that same adversary from successfully performing data exfiltration?"
303,606,0.9030,"When a low-skill adversary executes a BlueSmacking attack to flood a Bluetooth-enabled device, what underlying software weakness category is typically associated with the resulting Denial of Service (DoS) impact?","When an adversary utilizes BlueSmacking to flood a Bluetooth-enabled device with oversized L2CAP packets, which security principle is primarily compromised, and what CWE weakness category is associated with the failure to release system components that leads to the resulting Resource Exhaustion?"
310,1666,0.9062,"If a threat actor with a low skill level executes a BlueSmacking attack, which specific MITRE ATT&CK technique are they employing to reach the objective of a Denial of Service (DoS)?","When an adversary executes a BlueSmacking attack by flooding a target with oversized L2CAP packets, which specific MITRE ATT&CK technique is being leveraged, and what is the primary security objective of this activity?"
324,1241,0.9005,"An adversary employs an attack method involving repeated connection and disconnection to exploit the improper termination of network sockets. Which specific Common Weakness Enumeration (CWE) category does this behavior fall under, and what Bluetooth-based denial-of-service attack pattern leverages this same underlying weakness?","An adversary attempts to trigger a Denial of Service by repeatedly connecting to and disconnecting from a service to exhaust network sockets. Which Common Weakness Enumeration (CWE) identifies this failure to release resources, and which Bluetooth-specific attack pattern is also rooted in this same weakness?"
329,854,0.9110,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what is the impact score of the specific vulnerability in 6tunnel version 0.08 that is characterized by the same underlying failure to properly terminate network communication endpoints?","The BlueSmacking attack pattern exploits the CWE-404 weakness to cause a denial of service. Given that 6tunnel version 0.08 is susceptible to a specific manifestation of this same weakness, what is the impact score associated with the CVE assigned to this software vulnerability?"
332,333,0.9172,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what is the CVSS vector string for CVE-2001-0830, a vulnerability that manifests this same underlying weakness through improper socket management?","Considering that the BlueSmacking attack pattern targets a specific resource management weakness, which CVE associated with the improper termination of network communication endpoints shares this same underlying CWE and is defined by the CVSS vector (AV:N/AC:L/AU:N/C:N/I:N/A:P)?"
332,809,0.9000,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what is the CVSS vector string for CVE-2001-0830, a vulnerability that manifests this same underlying weakness through improper socket management?","The BLUESMACKING attack pattern exploits a specific software weakness identified as CWE-404. What is the formal name of this weakness, and what is the CVSS vector string for CVE-2001-0830, a vulnerability that shares the same primary security impact as BLUESMACKING?"
332,1325,0.9118,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what is the CVSS vector string for CVE-2001-0830, a vulnerability that manifests this same underlying weakness through improper socket management?","The BlueSmacking attack pattern exploits the CWE-404 weakness to cause a denial of service. If this same weakness is identified in CVE-2001-0830 due to the mismanagement of sockets, what specific availability impact is assigned to this vulnerability per its CVSS vector string?"
332,1801,0.9078,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what is the CVSS vector string for CVE-2001-0830, a vulnerability that manifests this same underlying weakness through improper socket management?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what is the CVSS vector string for the specific vulnerability in 6tunnel version 0.08 that is triggered by the same underlying resource management failure?"
337,350,0.9079,"In the context of a BlueSmacking attack, which exploits the CWE-404 weakness, what is the ultimate impact on system availability caused by the failure to properly manage network connections?","By exploiting the CWE-404 weakness through the delivery of oversized L2CAP packets, what specific failure in network connection management does a BlueSmacking attack trigger, and what is the resulting impact on system resources?"
362,1019,0.9029,"When an adversary executes a BlueSmacking attack, what underlying software weakness is exploited, and how does its manifestation result in a Denial of Service (DoS) state?","When an adversary executes a BlueSmacking attack, what underlying software weakness is exploited to achieve a Denial of Service (DoS), and how does this impact the system's security principles?"
376,1419,0.9017,"Given that BlueSmacking exploits the CWE-404 weakness, what specific technical failure connects this attack pattern to the resource exhaustion mechanism that characterizes the Denial of Service in CVE-2001-0830?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what specific network communication resource is mismanaged in CVE-2001-0830 to achieve a Denial of Service (DoS) impact?"
377,390,0.9264,"By exploiting the CWE-404 weakness, what specific manifestation of resource mismanagement does a BlueSmacking attack utilize to achieve a Denial of Service (DoS) state?","How does the BlueSmacking attack pattern leverage the CWE-404 weakness to achieve a Denial of Service (DoS) condition on a target device?"
377,1431,0.9002,"By exploiting the CWE-404 weakness, what specific manifestation of resource mismanagement does a BlueSmacking attack utilize to achieve a Denial of Service (DoS) state?","By exploiting the CWE-404 weakness through the transmission of oversized L2CAP packets, what intermediate state does a BLUESMACKING attack induce to achieve a Denial of Service (DoS) impact?"
379,384,0.9063,"The BlueSmacking attack pattern is known to exploit the CWE-404 weakness. Which specific CVE, identified in the 6tunnel application, is fundamentally caused by a manifestation of this same weakness involving the failure to correctly terminate socket connections?","The BlueSmacking attack pattern exploits the CWE-404 weakness to cause a denial of service. Which specific vulnerability in the 6tunnel software is linked to this same weakness through the failure to correctly terminate socket connections?"
381,860,0.9248,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, how does a specific manifestation of this weakness in 6tunnel version 0.08 (CVE-2001-0830) affect the target system's availability based on its CVSS metrics?","Considering that the BlueSmacking attack pattern targets the CWE-404 weakness, which legacy software version is susceptible to a specific manifestation of this weakness involving socket management, and what is the CVSS vector string for the vulnerability identified as CVE-2001-0830?"
382,1303,0.9002,"Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness, what specific technique is used to trigger the CVE-2001-0830 vulnerability, which shares a manifestation of this same underlying software weakness?","Given that CVE-2001-0830 is triggered by repeatedly connecting and disconnecting to cause improper socket closure, which common software weakness does this vulnerability share with the BLUESMACKING attack pattern?"
383,1761,0.9147,"The BLUESMACKING attack pattern is known to exploit the CWE-404 weakness. How does this specific weakness manifest in the 6tunnel vulnerability identified as CVE-2001-0830, and what method do remote attackers employ to trigger resource exhaustion in that context?","Considering that the BlueSmacking attack pattern exploits the CWE-404 weakness to cause a denial of service, what specific CVE identifies a similar resource exhaustion vulnerability in 6tunnel 0.08, and what operational method do attackers use to trigger it?"
